probes: 190
buildReflectionProbes: True
level geometry probe usage: BlendProbes
sector reflection probe 140: enabled=True, mode=Custom, texture=sector reflection probe 140 cubemap, importance=1, size=(11.88, 5.28, 40.68), pos=(124.20, 6.75, 70.20)
sector reflection probe 01: enabled=True, mode=Custom, texture=sector reflection probe 01 cubemap, importance=1, size=(47.88, 5.28, 11.88), pos=(124.20, 2.10, 9.00)
sector reflection probe 72: enabled=True, mode=Custom, texture=sector reflection probe 72 cubemap, importance=1, size=(8.28, 5.28, 8.28), pos=(46.80, -2.55, 46.80)
atrium reflection probe 01: enabled=True, mode=Custom, texture=atrium reflection probe 01 cubemap, importance=2, size=(50.40, 14.58, 39.60), pos=(126.00, 2.10, 109.80)
sector reflection probe 67: enabled=True, mode=Custom, texture=sector reflection probe 67 cubemap, importance=1, size=(15.48, 5.28, 11.88), pos=(140.40, -2.55, 23.40)
sector reflection probe 158: enabled=True, mode=Custom, texture=sector reflection probe 158 cubemap, importance=1, size=(4.68, 5.28, 11.88), pos=(207.00, 6.75, 70.20)
sector reflection probe 183: enabled=True, mode=Custom, texture=sector reflection probe 183 cubemap, importance=1, size=(26.28, 5.28, 11.88), pos=(70.20, 6.75, 167.40)
sector reflection probe 145: enabled=True, mode=Custom, texture=sector reflection probe 145 cubemap, importance=1, size=(4.68, 5.28, 4.68), pos=(16.20, 6.75, 77.40)
sector reflection probe 119: enabled=True, mode=Custom, texture=sector reflection probe 119 cubemap, importance=1, size=(33.48, 5.28, 26.28), pos=(37.80, -2.55, 167.40)
sector reflection probe 138: enabled=True, mode=Custom, texture=sector reflection probe 138 cubemap, importance=1, size=(4.68, 5.28, 8.28), pos=(66.60, 6.75, 46.80)
sector reflection probe 38: enabled=True, mode=Custom, texture=sector reflection probe 38 cubemap, importance=1, size=(8.28, 5.28, 11.88), pos=(162.00, 2.10, 109.80)
sector reflection probe 130: enabled=True, mode=Custom, texture=sector reflection probe 130 cubemap, importance=1, size=(15.48, 5.28, 11.88), pos=(140.40, 6.75, 23.40)
sector reflection probe 14: enabled=True, mode=Custom, texture=sector reflection probe 14 cubemap, importance=1, size=(11.88, 5.28, 40.68), pos=(124.20, 2.10, 70.20)
sector reflection probe 153: enabled=True, mode=Custom, texture=sector reflection probe 153 cubemap, importance=1, size=(4.68, 5.28, 19.08), pos=(203.40, 6.75, 70.20)
sector reflection probe 75: enabled=True, mode=Custom, texture=sector reflection probe 75 cubemap, importance=1, size=(4.68, 5.28, 8.28), pos=(66.60, -2.55, 46.80)
sector reflection probe 146: enabled=True, mode=Custom, texture=sector reflection probe 146 cubemap, importance=1, size=(4.68, 5.28, 11.88), pos=(16.20, 6.75, 109.80)
sector reflection probe 159: enabled=True, mode=Custom, texture=sector reflection probe 159 cubemap, importance=1, size=(4.68, 5.28, 11.88), pos=(214.20, 6.75, 70.20)
sector reflection probe 31: enabled=True, mode=Custom, texture=sector reflection probe 31 cubemap, importance=1, size=(4.68, 5.28, 11.88), pos=(199.80, 2.10, 70.20)
sector reflection probe 06: enabled=True, mode=Custom, texture=sector reflection probe 06 cubemap, importance=1, size=(15.48, 5.28, 15.48), pos=(108.00, 2.10, 39.60)
sector reflection probe 68: enabled=True, mode=Custom, texture=sector reflection probe 68 cubemap, importance=1, size=(8.28, 5.28, 8.28), pos=(50.40, -2.55, 32.40)
sector reflection probe 134: enabled=True, mode=Custom, texture=sector reflection probe 134 cubemap, importance=1, size=(19.08, 5.28, 4.68), pos=(52.20, 6.75, 41.40)
sector reflection probe 161: enabled=True, mode=Custom, texture=sector reflection probe 161 cubemap, importance=1, size=(8.28, 5.28, 40.68), pos=(172.80, 6.75, 95.40)
sector reflection probe 27: enabled=True, mode=Custom, texture=sector reflection probe 27 cubemap, importance=1, size=(4.68, 5.28, 19.08), pos=(203.40, 2.10, 70.20)
dumped cubemap faces: 2
